"season","week","rate"
2019,2,6.8
2019,12,21.19
2018,28,8.25
2019,10,14.48
2019,7,11.17
2019,8,13.07
2019,9,13.04
2019,1,6.49
2018,15,11.49
2019,42,5.66
2019,17,26.56
2019,18,31.91
2019,41,5.9
2019,21,23.73
2019,29,5.38
2019,19,32.81
2019,20,28.11
2019,16,23.5
2019,33,3.09
2019,34,3.36
2019,47,3.79
2019,43,4.86
2019,25,23.15
2019,30,4.47
2019,31,3.78
2019,32,3.26
2019,48,3.85
2019,44,4.56
2019,46,3.87
2019,22,22.04
2019,26,15.66
2019,27,10.68
2019,28,7.36
2019,38,3.49
2019,39,4.56
2019,40,5.24
2019,49,3.58
2019,50,3.81
2019,45,4.15
2019,52,4.2
2019,15,22.28
2019,23,23.21
2019,24,26.4
2019,14,26.14
2019,51,3.79
2019,37,2.82
2019,35,2.83
2019,36,2.74
2021,6,13.01
2021,7,13.83
2021,8,12.73
2021,9,15.48
2021,11,18.39
2021,3,10.49
2021,4,10.76
2021,5,11.76
2021,10,16.18
2021,12,23.28
2021,13,33.49
2021,1,11.64
2021,2,11.06
2021,31,13.99
2022,7,40.23
2021,34,15.81
2021,30,13.17
2022,6,41.04
2022,4,32.06
2022,8,48.34
2021,14,27.32
2022,3,22.18
2021,26,10.19
2022,5,40.8
2022,9,54.4
2021,25,9.5
2022,10,49
2021,27,11.16
2021,24,9.18
2021,36,13.25
2021,46,9.24
2021,47,10.48
2021,35,15.19
2021,45,8.47
2021,33,15.83
2021,51,13.03
2021,48,10.99
2021,32,15.63
2021,15,20.25
2021,37,11.79
2022,1,16.77
2022,2,18.59
2021,44,8.68
2021,52,13.45
2021,23,8.22
2021,38,11.08
2021,21,6.92
2021,22,7.55
2021,16,14.25
2021,43,9.38
2021,40,10.25
2021,41,9.67
2021,42,9.55
2021,50,11.61
2021,28,11.99
2021,29,12.32
2021,49,11.22
2022,11,44.45
2021,17,10.17
2021,18,7.56
2021,19,6.94
2021,39,10.12
2022,13,32.98
2021,20,7.01
2022,12,38.09
2023,4,19.67
2022,45,8.53
2022,52,14.11
2023,2,16.71
2023,3,18.18
2023,1,16.38
2023,5,20.99
2023,7,26.43
2023,8,24.88
2022,44,7.83
2022,46,9.8
2023,11,39.45
2022,47,11.92
2023,9,30.15
2023,10,33.16
2022,50,13.09
2022,51,13.86
2022,48,12.82
2022,49,12.93
2023,6,24.84
2022,15,19.74
2022,16,16.85
2022,17,16.98
2022,18,17.3
2022,19,18.15
2022,20,17.4
2023,12,47.48
2023,13,48.4
2022,21,16.69
2022,22,16.25
2022,23,15.95
2022,24,15.82
2022,25,16.13
2022,26,15.56
2022,27,14.1
2022,40,7.76
2022,41,7.54
2022,42,7.51
2022,43,7.69
2022,28,13.63
2022,29,12.99
2022,30,13.08
2022,31,13.3
2022,32,13.35
2022,33,12.6
2022,14,26.83
2022,34,12.09
2022,35,12.11
2022,36,10.75
2022,37,9.87
2022,38,8.99
2022,39,8.29
