"COUNTRY_CODE","ISO_YEAR","Population","Air_passenger","Rate_poverty","International_Departure","GDP_percapita","Temperature_variation","Temperature","Vaccination_coverage","medium","high","veryhigh","N_medium","time_medium","rate_medium","N_high","time_high","rate_high","N_veryhigh","time_veryhigh","rate_veryhigh"
"Peru",2017,31132779,15081755,0.045961814,8913642,14545.381,0.477947232,19.293928,53,1,1,0,37,1,0.02,9,1,0.04,0,52,0.05
"Peru",2018,31605486,16094150,0.044970579,9096522,14920.104,0.232846893,19.416101,98,1,1,1,30,5,0.03,25,5,0.04,25,5,0.04
"Peru",2021,31605486,8590840,0.0458100532,2141617,15466.295,-0.030955477,19.032663,98,1,1,1,40,2,0.07,27,3,0.11,25,3,0.12
"Peru",2022,31605486,8590840,0.0458100532,1864532,13612.021,-0.030955477,19.36534,98,1,1,1,42,1,0.1,34,1,0.17,25,1,0.32
"Peru",2023,31605486,8590840,0.0458100532,6321416,15282.273,-0.030955477,19.011148,98,1,0,0,4,13,0.68,0,52,2.23,0,52,2.24
"Peru",2024,31605486,8590840,0.0458100532,8893457,15548.932,-0.030955477,18.889914,98,0,0,0,0,52,0.71,0,52,1.33,0,52,1.45
"Paraguay",2015,6090721,608844,0.02413885,6994239,13700.703,0.106601953,23.791527,41.7,1,1,0,31,16,9.13,6,26,16.61,0,52,17.5675
"Paraguay",2016,6177950,452004,0.018913394,16316081,14219.354,0.442336184,24.437904,34,1,1,0,31,1,16.11,6,21,31.054,0,52,38.59325
"Paraguay",2017,6266615,467713,0.016942959,23984218,14427.601,0.086608892,24.723951,98,1,0,0,28,11,18.02,0,52,42.7,0,52,51.64
"Paraguay",2018,6355404,454276,0.009814325,23145652,14826.664,0.256961552,23.441452,36,1,0,0,1,33,36.89,0,52,47.56,0,52,51.64
"Paraguay",2019,6443328,710407,0.014066799,22457307,15320.337,-0.243468762,24.507624,34,0,0,0,0,52,35.58,0,52,36.71,0,52,37.43
"Paraguay",2020,6530026,632389,0.010115121,22189795,15592.984,0.026656861,23.713156,0,0,0,0,0,52,29.43,0,52,34.47,0,52,36.12
"Paraguay",2021,6530026,8590840,0.0156652413333333,5725652,15321.324,-0.030955477,24.503633,98,0,0,0,0,52,23.42,0,52,26.87,0,52,28.6
