"rate","season","week"
127.33,2018,30
133.15,2018,31
69.24,2018,18
136.89,2018,36
153.56,2018,37
137.26,2018,38
126.2,2018,39
112.93,2018,6
103.57,2018,46
68.06,2018,12
63.4,2018,15
136.63,2018,32
68.3,2018,19
82.49,2018,20
94.32,2018,21
96.74,2018,22
111.53,2018,40
99.7,2018,11
150.41,2018,34
75.34,2018,43
141.99,2018,33
77.68,2018,44
71.76,2018,45
133.98,2019,5
139.21,2019,27
131.01,2019,6
118.28,2019,8
102.89,2019,52
115.62,2019,28
123.76,2019,7
140.24,2019,40
127.37,2019,9
98.52,2019,12
122.35,2019,50
116.46,2019,51
142.79,2019,4
128.51,2019,47
11.53,2019,48
154.48,2019,39
131.17,2019,46
118.42,2019,11
119.12,2019,23
119.74,2019,49
67.81,2019,14
115.89,2019,29
127.89,2019,24
85.63,2019,13
108.05,2019,3
156.72,2019,36
161.82,2019,38
124.06,2019,25
131.7,2019,26
116.36,2019,45
66.36,2019,15
105.28,2019,30
103.97,2019,2
140.38,2019,35
57.65,2019,19
71.35,2019,20
92.37,2019,21
103.81,2019,22
98.46,2019,44
160,2019,37
127.37,2019,34
126.65,2019,10
64.79,2019,17
57.2,2019,18
113.97,2019,32
107.99,2019,42
96.77,2019,43
119.13,2019,31
124.5,2019,41
76.38,2019,16
123.35,2019,33
41.35,2020,7
108.27,2020,6
142,2020,3
138.93,2020,2
142.65,2020,5
170.72,2020,4
128.19,2020,1
0.03,2023,8
0.04,2023,7
0.05,2023,40
0.04,2023,41
0.05,2023,42
0.02,2023,9
0.02,2023,52
0.03,2023,36
0.04,2023,37
0.06,2023,38
0.05,2023,39
0.03,2023,43
0,2023,1
0.01,2023,10
0.02,2023,5
0.02,2023,6
0.04,2023,35
0.03,2023,44
0.02,2023,11
0.02,2023,12
0.01,2023,13
0.01,2023,17
0.01,2023,2
0.04,2023,46
0.02,2023,4
0.01,2023,22
0,2023,23
0,2023,24
0.01,2023,25
0.01,2023,26
0.01,2023,14
0.01,2023,15
0.04,2023,45
0.01,2023,16
0.01,2023,18
0,2023,19
0,2023,20
0.02,2023,3
0.05,2023,47
0.05,2023,48
0.05,2023,49
0.03,2023,50
0.03,2023,51
0.01,2023,27
0.02,2023,28
0.03,2023,29
0.02,2023,30
0.01,2023,31
0.03,2023,32
0.03,2023,33
0.01,2023,21
0.04,2023,34
