"season","week","rate"
2022,50,3.08
2022,44,1.18
2022,36,1.75
2022,47,1.97
2022,43,1.21
2022,27,2.25
2022,48,2.56
2022,39,1.43
2022,51,2.44
2023,9,8.12
2023,5,5.6
2022,30,4.32
2022,32,3.18
2022,46,1.88
2022,34,2.94
2022,49,2.93
2022,35,2.32
2022,42,1.29
2022,28,4.56
2022,29,3.87
2022,38,1.77
2023,4,5.23
2022,52,2.76
2023,6,5.6
2023,1,3.45
2022,26,5.21
2022,33,2.64
2023,8,8.29
2023,3,2.71
2022,37,1.58
2022,25,7.78
2022,40,1.63
2023,2,3.48
2022,31,2.67
2023,7,5.67
